operation,type,manufacturer,engine_type,engines,year_manufacturing,seating,fatalities
AEROCLUBE,AVIÃO,XAVANTE,PISTÃO,MONOMOTOR,1974,2,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,MONOMOTOR,1955,4,3
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1975,1,1
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1977,1,1
OPERADOR PARTICULAR,HELICÓPTERO,HUGHES HELICOPTER,PISTÃO,MONOMOTOR,1964,2,0
OPERADOR DE AERONAVE,HELICÓPTERO,HELIBRAS,TURBOEIXO,MONOMOTOR,1996,6,1
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,2004,1,1
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1980,6,2
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,1997,4,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1984,1,1
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1977,6,7
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1974,4,4
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1968,6,0
ESCOLA DE AVIAÇÃO,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,1997,4,2
OPERADOR DE AERONAVE,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1976,1,0
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1954,2,1
OPERADOR DE AERONAVE,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,1998,4,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1979,1,1
OPERADOR DE AERONAVE,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,BIMOTOR,2002,27,5
OPERADOR PARTICULAR,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,MONOMOTOR,2000,5,2
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,2004,1,1
OPERADOR PARTICULAR,AVIÃO,CIRRUS DESIGN,PISTÃO,MONOMOTOR,2007,4,4
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1989,4,4
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,2004,1,0
OPERADOR PARTICULAR,HELICÓPTERO,AGUSTA,TURBOEIXO,BIMOTOR,0,8,2
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1990,6,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,0,4,3
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,1999,4,2
OPERADOR DE AERONAVE,AVIÃO,AIR TRACTOR,TURBOÉLICE,MONOMOTOR,2007,1,1
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,SEM TRAÇÃO,1971,0,1
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1987,1,0
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2006,4,0
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2001,4,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1976,4,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1993,2,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1987,6,4
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,MONOMOTOR,1974,6,3
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1969,4,3
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,MONOMOTOR,1981,6,1
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1973,1,1
