atributos,Std,Min,Max,Range,mean,median,Skew,Kurtosis
aeronave_pmd,36203.34748198321,0.0,377842.0,377842.0,15866.392688679245,2073.0,4.6010658339307255,29.623291080575935
aeronave_assentos,57.07614945929201,0.0,659.0,659.0,29.19241352201258,6.0,2.6184821403031493,8.309980286270745
total_fatalidades,0.8050805562712671,0.0,24.0,24.0,0.1605738993710692,0.0,11.223371858817405,220.2611847981668
