atributos,min,max,range,mediana,media,std,skew,curtose
aeronave_pmd,280,365258,364978,2073.0,15020.976600985221,33058.002000226654,4.433121201780648,28.924885225884946
aeronave_assentos,1,659,658,6.0,29.84051724137931,57.391060294290654,2.5760547335336956,8.04439054458127
aeronave_ano_fabricacao,1936,2017,81,1992.0,1991.5720443349753,15.125858905971409,-0.426985713276011,-0.46035650166330466
total_fatalidades,0,24,24,0.0,0.15907224958949095,0.8119235363840293,11.350291195253225,222.17855226389588
